IC,Method,MSE,RMSE,R2
"[-0.3734862894349501, -0.46197096665897835, -0.816466104204386]",Hybrid,9.9640637927223e-05,0.009982015724653162,0.9934605956077576
"[-0.3734862894349501, -0.46197096665897835, -0.816466104204386]",RC(ESN),7.441218650215455e-07,0.0008626249851595683,0.9999558114886149
"[-0.04512330251340237, 0.1213277763043188, 0.9259527795225019]",RNN,5.845553823746741e-05,0.007645622161568502,0.9978692531585693
"[-0.04512330251340237, 0.1213277763043188, 0.9259527795225019]",Transfer,9.81826669885777e-05,0.009908716717546107,0.9967613816261292
"[-0.04512330251340237, 0.1213277763043188, 0.9259527795225019]",MAML,0.0034970995038747787,0.05913627908378053,0.8900492191314697
"[-0.04512330251340237, 0.1213277763043188, 0.9259527795225019]",PINN,7.899881893536076e-05,0.008888127976990474,0.9973031878471375
"[-0.04512330251340237, 0.1213277763043188, 0.9259527795225019]",Hybrid,9.961958130588755e-05,0.009980960941006008,0.9966792464256287
"[-0.04512330251340237, 0.1213277763043188, 0.9259527795225019]",RC(ESN),3.547578171375527e-06,0.0018835015719068373,0.9998797284752294
"[-0.5738196962799621, 0.0527031100459612, 2.2073105869160483]",RNN,4.017018363811076e-05,0.006337995238094673,0.9961490035057068
"[-0.5738196962799621, 0.0527031100459612, 2.2073105869160483]",Transfer,0.0001324216282228008,0.011507459677218113,0.990629255771637
"[-0.5738196962799621, 0.0527031100459612, 2.2073105869160483]",MAML,0.0030840085819363594,0.05553385077532765,0.807401180267334
"[-0.5738196962799621, 0.0527031100459612, 2.2073105869160483]",PINN,3.200004357495345e-05,0.0056568581010092035,0.9959385395050049
"[-0.5738196962799621, 0.0527031100459612, 2.2073105869160483]",Hybrid,0.00012794385838788003,0.011311227094700204,0.9899516105651855
"[-0.5738196962799621, 0.0527031100459612, 2.2073105869160483]",RC(ESN),1.9687063002556636e-06,0.0014031059476232234,0.9997906659970425
"[0.3918218694740633, 0.4827134277255191, 0.43333402110636643]",RNN,5.5576194426976144e-05,0.007454944294022333,0.9979984164237976
"[0.3918218694740633, 0.4827134277255191, 0.43333402110636643]",Transfer,7.246067252708599e-05,0.00851238348096971,0.9971879124641418
"[0.3918218694740633, 0.4827134277255191, 0.43333402110636643]",MAML,0.002194504952058196,0.04684554356668515,0.9050127863883972
"[0.3918218694740633, 0.4827134277255191, 0.43333402110636643]",PINN,6.396329263225198e-05,0.007997705460458767,0.9976873397827148
"[0.3918218694740633, 0.4827134277255191, 0.43333402110636643]",Hybrid,7.772177195874974e-05,0.008815995233593865,0.9970354437828064
"[0.3918218694740633, 0.4827134277255191, 0.43333402110636643]",RC(ESN),8.363732273507467e-07,0.0009145344320203295,0.9999659731444179
